Paid Price,Postcode,Type,LSOA,total_floor_area_m2,Employment,Health,Crime,Income,Education,Address
162000,BD3 7AR,S,E01010618,72,2431,3879,2206,44569,41.8,1 MAPLE AVENUE
220000,BD3 7DB,T,E01010627,151,5566,6010,740,44569,41.8,1091 LEEDS ROAD
190000,BD3 7JJ,T,E01010626,79,3179,4213,6520,44569,41.8,130 SILVERHILL ROAD
136000,BD3 8JX,T,E01010619,91,7413,7138,10120,44569,41.8,35 LEEDS OLD ROAD
110000,BD3 8LN,T,E01010623,62,2437,3410,2096,38392,41.8,24 MORTIMER ROW
80000,BD3 8NA,T,E01010623,137,2437,3410,2096,38392,41.8,6 WENSLEYDALE ROAD
105000,BD3 8QS,T,E01010621,120,4372,6818,16078,38392,41.8,183 AMBERLEY STREET
115000,BD3 9PA,T,E01010621,84,4372,6818,16078,38392,41.8,66 SANDFORD ROAD
124000,BD3 9EH,T,E01010608,103,1500,4316,3806,36691,41.8,93 CURZON ROAD
163000,BD4 0FF,S,E01011606,61,12281,15921,6176,54209,46.2,14 THORNTON GROVE
211000,BD4 8ER,S,E01011606,92,12281,15921,6176,54209,46.2,5 TYERSAL WALK
248000,BD4 8EW,S,E01011606,123,12281,15921,6176,54209,46.2,61 TYERSAL COURT
220000,BD4 8HQ,D,E01011606,95,12281,15921,6176,54209,46.2,2 TYERSAL GREEN
70000,BD4 0PU,T,E01010814,52,3435,3675,517,46325,41.8,81 HOLME LANE
190000,BD4 0QB,D,E01010814,59,3435,3675,517,46325,41.8,37 MONTSERRAT ROAD
190000,BD4 0QB,D,E01010814,59,3435,3675,517,46325,41.8,13 MONTSERRAT ROAD
195000,BD4 6QX,T,E01010814,97,3435,3675,517,46325,41.8,39 STEAD ROAD
86000,BD4 9RH,T,E01010814,66,3435,3675,517,46325,41.8,12 SHETCLIFFE LANE
167000,BD4 0QW,S,E01010821,72,397,1435,55,35177,41.8,3 MAYTHORNE CLOSE
174500,BD4 0QZ,D,E01010821,95.245,397,1435,55,35177,41.8,17 HOLME BANK CLOSE
285000,BD4 0TU,D,E01010816,152,20216,20593,13460,46325,41.8,9 SKELLOW DRIVE
155000,BD4 6AJ,S,E01010818,115,15374,15376,16991,46325,41.8,11 BELL HOUSE CRESCENT
183000,BD5 8FB,T,E01010818,98,15374,15376,16991,46325,41.8,4 THE FAIRWAY
